timestamp,age,subscribed,work,like,add,expert,invest,income,capital,roi,passive,hopes,pains,barriers,area,area_m,buy,price
12/19/2022 20:02:56,25-30,Пол года - год,Собственный бизнес,"Интересные размышления, разборы","Не готов ответить, не только за Вами слежу, не настолько углубленно осведомлен","Зреть в корень, выборочно вдаваясь в тонкости. Не путаясь в ненужной инфе","Пробовал-(а), но сейчас не инвестирую",150-300 тыс. руб,Миллион-два ,10-20% в $,1000$/мес,Буду увереннее в будущем,"Не знаю куда грамотно пристроить деньги
Ипотека(которую умышлено не погашаю, чтобы инвестировать)
Хочется освоить доход, который не зависит от экономической и геополитической ситуации в России ",Не уверен в инструменте наверняка,Зарубежные фондовые рынки,"Защита накоплений на срок до 2 лет., Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Торговля фьючерсами и опционами",Зависит от стоимости,15000
12/19/2022 20:02:57,35-44,Пол года - год,Работаю в найме,"Хорошая, разносторонняя аналитика, уклон в сторону Рос фонды и тд.",Сигналы к каким то действиям на фонде,Не знаю. Хороший анализ рынка,"Да, занимаюсь 1-6 месяцев",20-50 тыс. руб,50000,20%,20%,Дополнительный заработок. Финансовая грамотность. Обеспечить себе пенсию и дополнительную недвижимость к пенсии.,"Нет свободных денег.
Нет свободных денег.
Нет свободных денег. )))","Да от жизни отстал, хочу догнать теперь)))",Самостоятельная торговля на фондовом рынке,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля, Торговля фьючерсами и опционами",Зависит от стоимости,???
12/19/2022 20:03:31,35-44,1-3 месяца,Инвестициями (недвижка/фондовый рынок),"новости и комментарии к ним, обзор и мнения в смежных инвестициям сферах",нет такого,стратегии инвестирования в новой реальности,Занимаюсь инвестированием больше года,100-150 тыс. руб,"поэтапно, около 500.000 руб. Далее - по 40-50 тыс в месяц",20%,такой задачи пока что не стоит,"ничего не изменится, буду вести прежний образ жизни","деньги лежат и ждут своего часа на фондовом рынке
необходимо думать, какие еще альтернативные источники дохода надо найти
сложности с платежами в валюте",,Фондовый рынок РФ,"Защита накоплений на срок до 2 лет., Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",15-20 тыс.
12/19/2022 20:03:47,45-55,Пол года - год,Работаю в найме,Все по делу ,Разбор компаний,Анализ,Занимаюсь инвестированием больше года,150-300 тыс. руб,Любую главное чтобы это было каждый месяц ,10% плюс инфляция,100000,Займусь делом которое  по душе,"Проблемы осознал исправляюсь,дисциплина в инвестициях отсутствие займов и четко сформулированная цель",,Фондовый рынок РФ,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля","Зависит от того, что будет внутри продукта",Продукт надо видеть 
12/19/2022 20:04:01,35-44,Больше двух лет,Работаю в найме,Обзоры компаний ,Всё нравится!,"Инвестиции в валюте.  Для меня это уровень ""Бог"".","Да, занимаюсь 1-6 месяцев",150-300 тыс. руб,Пока получается мало инвестировать ,15%,~ 100 тысяч в мес.,Смогу начать свой бизнес,Кредиты. Хочется поскорее закрыть. ,,Зарубежные фондовые рынки,"Понять, как закрыть кредиты и избавиться от долгов, Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовые рынки за границей","Зависит от того, что будет внутри продукта",Трудно сказать 
12/19/2022 20:04:43,35-44,1-2 года,Работаю в найме,"Информация про финансы
",Пока хватает ,Инвестировать ,Занимаюсь этим 6-12 месяцев,50-100 тыс. руб,50000,20%,100000р,"Больше свободы, возможности путешествий ","Доход, не грамотность в финансах, дисциплины ",,Криптовалюта,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Криптовалюта",Зависит от стоимости,10000р
12/19/2022 20:05:33,18-21,3-6 месяцев,Учусь в школе/универе,"Что-то про исс, инвестиции, ОФЗ, не очень интересны новости",Управление личными финансами ,Управлению финансами,Занимаюсь инвестированием больше года,20-50 тыс. руб,"Я вкладываю 10% от любого дохода, в среднем это 3к",12-15%,100к,"Будет возможность меньше работать, давать себе внеплановый отдых на неограниченный срок, возможность живёт в любой точке мира","Медленный рост доходов, нестабильность, слишком много времени занимает работа",,Фондовый рынок РФ,"Составление личного/семейного финансового плана, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им, Криптовалюта","Нет, в основном курсы стоят от 50к, что оправдано, но в плане финансовом у меня таких затрат нет + в блоге у вас больше информации обезличенной - факты, советы. Когда покупаешь курс, хочется больше видеть релаьно человека, его историй, фотографий и ощущения взаимодействия ",50-100к
12/19/2022 20:05:50,35-44,Больше двух лет,Инвестициями (недвижка/фондовый рынок),"Мне нравится большой объем теоретической материала, качество которого настолько высоко, что, он может заменить курс Грамотные инвестиции.","Перестали появляться варианты портфелей и их анализ. Раньше с Кубышкой можно было собрать грамотный портфель из ETF. Сейчас практики стало меньше, по-моему.","1. Спокойное отношение к рыночным колебания. То, чему я давно научился у Кубышки. Автор доносит мысль, что не нужно переживать ни за рост котировок, ни за падение. Особенно это касается курса валюты. Есть план и нужно ему следовать, тогда успех неизбежен. На других каналах такого спокойного отношения нет. 2. Такжп с Кубышкой раньше можно было собрать хороший, грамотный пассивный портфель. Таких знаний на других каналах я также не встречал. 3. Канал пытается уберечь неискушенных инвесторов от активных действий на бирже.",Занимаюсь инвестированием больше года,150-300 тыс. руб,Для меня вопрос не актуален. Портфель сформирован.,15%,50 тыс долл/год,"Я с полной уверенностью в благополучии семьи буду жить в комфортном климате и среде. Посвящу вме свободное время саморазвитию, своим увлечением и развитию детей.",1. Отсутствие постоянного и ОЩУЩАЕМОГО денежного потока. 2. Нет уверенности в гарантии получения необходимого дохода в будущем. 3. Нет достаточного источника для продолжения наращивания капитала,,Индексные фонды,"Защита накоплений на срок до 2 лет., Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им",Я уже покупал продукты раньше из за репутации Кубышки. Не пожалел.,8 тысяч 
12/19/2022 20:06:21,35-44,1-2 года,Собственный бизнес,Аналитика и советы,Сигналы к действию ,Обобщение информации и сведение ее в доступный итоговый материал ,Планирую начать,3+ млн. руб,3000000,50%,10% в месяц с суммы,"Развитие бизнеса, открытие новых рабочих мест, обучение себя и персонала ",Отсутствие навыков инвестирования и знание инструментов,Нет полных знаний инструментов,Самостоятельная торговля на фондовом рынке,"Формирование пассивного дохода для выхода на пенсию, Инвестиции в недвижимость, Инвестиции в фондовые рынки за границей, Криптовалюта","Зависит от того, что будет внутри продукта",$500
12/19/2022 20:10:29,Больше 55,Недавно,Работаю в найме,Всё,Видео,Экспертности,Занимаюсь инвестированием больше года,20-50 тыс. руб,100000,300000,30000месяц,Буду искать другой доход,"Малый доход,заморозка активов,высокие цены","Заморозка активов,малыйкэш",Самостоятельная торговля на фондовом рынке,Формирование пассивного дохода для выхода на пенсию,Зависит от стоимости,Зависит от полезности продукта
12/19/2022 20:11:11,35-44,1-2 года,Работаю в найме,Всё,Обзор наиболее значимых инструментов для инвестиций,Сохранять и преумножать,Занимаюсь инвестированием больше года,20-50 тыс. руб,600000 рублей,50%,50%,Буду чувствовать себя ещё большим куском закваски,"Маленькая зарплата, невозможность вкладывать >45000 в месяц, невозможность купить дом",,"Криптовалюта, недвижимость, фондовый рынок","Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им, Криптовалюта","Зависит от того, что будет внутри продукта","Не знаю, но постарался бы обойтись без покупки"
12/19/2022 20:11:48,45-55,Пол года - год,Собственный бизнес,Практически 100% нужная или интересная информация ,Затрудняюсь ответить,"Экспертность- инвестирование, стараюсь не пропускать все Ваши посты ","Да, меньше 2-х месяцев",50-100 тыс. руб,50,"Если вложить 50.000, желательно получить 25.000",100.000 ( в расчете на сегодняшний день),"Уверенность в завтрашнем дне, какая то степень финансовой свободы , возможность более легко путешествовать ","Наличие кредита, но думаю сократить срок в 2 раза точно( вношу  увеличенные платежи). Постоянная нехватка денег- видимо не успеваю за темпами инфляции..Не получается  зарабатывать выше определённой планки",Изучаю материалы,Зарубежные фондовые рынки,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Криптовалюта","Зависит от того, что будет внутри продукта","Смотря какая состовляющая , от 10.000"
12/19/2022 20:11:54,35-44,Больше двух лет,Работаю в найме,Разъяснение экономических событий,Фундаментальный разбор компаний,Инвестирование,"Пробовал-(а), но сейчас не инвестирую",100-150 тыс. руб,30000,Выше уровня инфляции хотя бы на 5-7%,Инвестиции интересны в качестве накопления на крупную покупку срок 3-5 лет. Но дополнительные 30-50 тр в месяц не помешали бы,Буду иметь дополнительные 30-50 тр в месяц,"Необходимо расширить жилье, для этого нужны деньги. Хотелось бы повышать уровень дохода быстрее темпов инфляции.","Не было свободных средств, закрывал долги",Фондовый рынок РФ,"Защита накоплений на срок до 2 лет., Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",Зависит от продукты. Очень странный вопрос.
12/19/2022 20:11:57,18-21,3-6 месяцев,Учусь в школе/универе,"Обучающие статьи, а также предложения по инвестициям, например, по ОФЗ и корпоративным облигациям ","Интересные предложения по инвестициям в акции, валюту, фонды чтоб потом их разобрать самому, может быть, анализ каких-либо компаний
Обучение фундаментальному анализу, разбор показателей бизнеса",Правильному разбору инвестиционной идеи с учётом максимального количества влияющих на компанию/отрасль/страну факторов и использованием всех видов анализа,Занимаюсь этим 6-12 месяцев,20-50 тыс. руб,5000-30000 рублей ,"Естественно, превышающую доходность банковских вкладов и НС, 12+% годовых, по мере погружения в сферу ","Отталкиваясь от возраста, большую часть дохода с инвестиций планирую реинвестировать ","Ответил в предыдущем вопросе, в жизни мало что изменится, но на инвестиции будет влиять сложный процент","Небольшие доходы
Зависимость от одной сферы, в которой удается зарабатывать
Неудачи в инвестициях",,"Все вышеперечисленное, кроме недвижимости и индексных фондов","Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Торговля фьючерсами и опционами, Криптовалюта",Зависит от стоимости,"Трудно оценить, не зная подробностей, но будучи знаком с похожими предложениями, могу предположить, что от 20 до 100 тысяч рублей в зависимости от включенных в него опций"
12/19/2022 20:13:03,35-44,Больше двух лет,Работаю в найме,Идеи,Больше практических советов ,Анализ,"Пробовал-(а), но сейчас не инвестирую",100-150 тыс. руб,"5,000$",10%,"50,000€","Уйду из найма, отосплюсь, займусь трейдингом","Не знание языка, отсутствие большой кубышки, найм",Не вижу дохода,Самостоятельная торговля на фондовом рынке,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля, Торговля фьючерсами и опционами, Криптовалюта","Зависит от того, что будет внутри продукта","Сложно ответить, не зная что внутри"
12/19/2022 20:14:08,35-44,Пол года - год,Работаю в найме,Понятен,Достаточно,План стратегического планирования. От создания до внедрения и следования.,Занимаюсь инвестированием больше года,20-50 тыс. руб,0,,Сумму моей ЗП,"Буду развивать себя в том, что всегда хотел.","1) Работа с маленькой ЗП. 2) Съемное жилье. 3) Нет дополнительного дохода, а точнее времени на его добычу, так как обучаюсь в свободное время на другую специальность.","На инвестировался без стратегии, сижу в минусе, желания пока этим заниматься нет!",Зарубежные фондовые рынки,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля, Торговля фьючерсами и опционами","Проходил ваш курс, когда рынок рушился в этом году! Основы получил, но не больше. Все на этом и закончилось. Пока!","Столько, сколько готов заплатить за нее потенциальный покупатель. И не делайте различий в самообучении и наставничестве с вашими коллегами - разницы от этого по-моему не много!"
12/19/2022 20:14:58,31-34,1-2 года,Работаю в найме,"Интересный взгляд на ситуацию, простые и понятные решения и советы","Больше стратегий и советов, какие-то новости и лайфхаки из вашей жизни","Ответственности, последовательности и неторопливости",Занимаюсь инвестированием больше года,150-300 тыс. руб,2000000,10-30% в₽ или около 10 в $,В районе 100000₽ в месяц,Смогу расслабиться и посветить больше времени хобби,"Неудачи, постоянно меняющийся внешний фон, неизвестность о будущем страны",Неудачи ,Недвижимость,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Криптовалюта",Зависит от стоимости,"Затрудняюсь ответить, вероятнее не более 2тр"
12/19/2022 20:15:56,35-44,Пол года - год,Багермейстер,Всё,Советы в какие компании инвестировать. ,Анализ компаний,Занимаюсь этим 6-12 месяцев,50-100 тыс. руб,500000,20-25 процентов,15-20,Не знаю,"Финансов хватает, но работа сезонная тяжолая здаровье улетает. ",,Фондовый рынок РФ,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Криптовалюта, Ребалансировка портфеля",Зависит от стоимости и чего в нем находется,Не знаю
12/19/2022 20:17:40,45-55,3-6 месяцев,Работаю в найме,"Психология, грамотные инвестиционные решения, новости.","Мне очень нравится контент, ни чего менять не нужно. Даже новости футбола осветили :)","Хочу так же анализировать рынок, разбираться в облигациях.",Занимаюсь этим 6-12 месяцев,"Вложила небольшую сумму (10 000), купила акции и ЕТФ. Портфель в небольшом плюсе. ","У меня нет большой суммы, я планирую с НГ ежемесячно пополнять ИИС на 2000 рублей",10 - 15 %,В месяц или в год? В месяц 20 000 - 30 000,"Буду большую часть реинвестировать, чтобы накопить нормальный капитал, миллионов 5 или 10 :)",Маленькая зарплата ,,Самостоятельная торговля на фондовом рынке,"Экономия и планирование расходов, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,"Не знаю, наверное дорого..."
12/19/2022 20:18:34,31-34,Пол года - год,Работаю в найме,про фин грамотность,красивого вижуала,"умные, правильные инвестиции в ЦБ",Занимаюсь этим 6-12 месяцев,50-100 тыс. руб,100 долларов в месяц,20%,1000$ в месяц,начал бы путешествовать ,"нет четкого плана, 
из за диверсификации инвестирую по чуть чуть
не успеваю копить, как все дорожает (квартира, авто)","инвестирую, но пока безуспешно ",Зарубежные фондовые рынки,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовые рынки за границей, Криптовалюта",Зависит от стоимости,7-10К руб
12/19/2022 20:19:55,35-44,Пол года - год,Собственный бизнес,аналитика,историй инвестирования взлетов и падений,иностранным инвестициям,Занимаюсь этим 6-12 месяцев,100-150 тыс. руб,1 млн,20%,100,начну больше путешествовать,все устраивает но надо стремиться к большему,,Криптовалюта,"Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Внутридневная торговля",Зависит от стоимости,20000
12/19/2022 20:19:57,35-44,1-3 месяца,Работаю в найме,Аналитика,Больше аналитики,Анализировать компании,Занимаюсь инвестированием больше года,20-50 тыс. руб,300000,15,50000,Буду больше инвестировать в здоровье и образование детей ,"Невысокий доход, ненужные семейные расходы, медленное накопление капитала",,Фондовый рынок РФ,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,500
12/19/2022 20:22:32,25-30,1-2 года,Занимаюсь криптовалютой,"Экспертность автора, полезная информация и ценные советы ","Хотелось бы больше информации о том, как проводить фундаментальный анализ компании, грамотно оценить её потенциал для дальнейшего инвестирования. ",Сохранять и грамотно приумножать финансы ,Занимаюсь инвестированием больше года,50-100 тыс. руб,500000 рублей ,От 20% годовых ,100000 ежемесячно ,"Пассивный доход откроет новые возможности для самореализации и совершенствования. Поскольку первичные потребности будут закрыты, можно будет уделить время семье и себе. Путешествовать, учиться и радоваться жизни. Изыскивая дальнейшие возможности для приумножения капитала ","1. Нерегулярный доход, как следствие - сложно планировать 
2. Нет возможности путешествовать по стране и миру
3. Наличие кредитов ",,Самостоятельная торговля на фондовом рынке,"Экономия и планирование расходов, Понять, как закрыть кредиты и избавиться от долгов, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля, Криптовалюта",Зависит от стоимости,20000 рублей 
12/19/2022 20:23:48,45-55,3-6 месяцев,Работаю в найме,"Полезные советы, изменения в сфере с разъяснениями","Конкретно, что выгодно покупать и в чем выгода",Делать выгодные вложения,Занимаюсь инвестированием больше года,50-100 тыс. руб,30-40 тысяч,15-20  процентов, 5 и более тысяч в месяц,"Буду вкладывать дальше, помогать детям, тратить на отдых и здоровье больше","портфель упал на 30 процентов, доход не стабильный, а впахиваю много",,Фондовый рынок РФ,"Формирование пассивного дохода для выхода на пенсию, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,"Не знаю, кота в мешке не куплю"
12/19/2022 20:24:38,45-55,3-6 месяцев,Работаю в найме,Анализ и предсказания на биржах,"Облигаций 
Подробный разбор",Пассивному доходу,Занимаюсь этим 6-12 месяцев,50-100 тыс. руб,10000,30%,От 200000,Уйду из найма,Маленький доход. Отсутствие финансовой свободы,Не успешно.  В минус ((,Фондовый рынок РФ,"Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",Не знаю 
12/19/2022 20:25:00,31-34,1-2 года,Работаю в найме,Всё ,Побольше о криптовалютах.,В грамотном построении портфеля.Правильным инвестициям.,"Да, занимаюсь 1-6 месяцев",50-100 тыс. руб,50000,,50000-150000,Буду двигаться дальше чтоб получать большую прибыль чтоб обрести финансовую независимость.,Кредиты.Работа.Не большое наличие денег.,Постоянное потребность в деньгах.Да и много чего куда не правильно инвестировал.,Криптовалюта,Криптовалюта,Что за продукт.Цена.Перспективы.,Честно не знаю.Сначало нужно понять что за продукт и что он может дать.
12/19/2022 20:25:33,25-30,3-6 месяцев,Работаю в найме,Здравое видение текущей ситуации ,Личных рекомендаций,Видение общей картины ,Занимаюсь инвестированием больше года,50-100 тыс. руб,50000,15%,10000,"Буду просто спокойнее, весь доход пока планирую реинвестировать",Все устраивает,,Индексные фонды,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Понять, как закрыть кредиты и избавиться от долгов, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,5000
12/19/2022 20:25:41,45-55,1-2 года,Работаю в найме,Обзоры и рекомендации,Все хватает,Работа с криптой,Занимаюсь инвестированием больше года,50-100 тыс. руб,500,20-30%,30,Избавлюсь от долгов,Долги. Много работы мало свободного времени.,Мои etf заморожены,Криптовалюта,"Формирование пассивного дохода для выхода на пенсию, Инвестиции в недвижимость, Криптовалюта",Зависит от стоимости,30.000-50.000
12/19/2022 20:25:44,35-44,Пол года - год,Работаю в найме,Читаю всё ,Трудно ответить,Любые знания интересно ,Занимаюсь инвестированием больше года,50-100 тыс. руб,"Вопрос не ясен, пополняю портфель регулярно, но малыми порциями",10 и более процентов ,500-800 тыс. Руб. В год,Брошу работу и займусь хобби,Всё устраивает,,Фондовый рынок РФ,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,Трудно ответить
12/19/2022 20:26:19,21-24,Пол года - год,Работаю в найме,Актуальное информирование,Более развёрнутое содержание,"Интересная точка зрения, перенять ход мыслей",Планирую начать,20-50 тыс. руб,50000 руб,20%,7-10 тыс. руб. ,"Улучшение общего эмоционального фона от получения новых навыков, знаний и опыта","Наличие только основного источника дохода, отсутсвие диверсификации и общая стагнация ",Отсутсвие уверенности в завтрашнем дне,Фондовый рынок РФ,"Экономия и планирование расходов, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Создание собственного инвестиционного портфеля и управление им","Сложно придумать, что то уникальное, когда уже есть сотни авторов","Столько, сколько оценит сам автор в разумных пределах"
12/19/2022 20:28:43,35-44,1-3 месяца,Работаю в найме,Подход,Не знаю ,Инвестированию,"Нет, не пробовал-(а)",50-100 тыс. руб,50000,40,50000,Новые возможности обучение рост,"Доход,нет подушки,нет дополнительных источников ",Не знаю ,"Недвижимость,крипта,","Экономия и планирование расходов, Составление личного/семейного финансового плана, Формирование пассивного дохода для выхода на пенсию, Создание собственного инвестиционного портфеля и управление им, Криптовалюта",Зависит от стоимости,Не знаю 
12/19/2022 20:28:43,21-24,Пол года - год,Работаю в найме,Статьи про инвестирование,Способы и виды финансирования,Управлению и распределению финансов,Планирую начать,Не зарабатываю,20000,Любую положительную ,Положительный,Появится желание и азарт вложить больше усилий чтобы получать ещё больше,"Я в армии и не могу уделять достаточно времени на изучение финансов, и не могу самостоятельно зарабатывать","Забрали в армию, а до этого учился",Индексные фонды,"Экономия и планирование расходов, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля","Зависит от того, что будет внутри продукта",Абстрактное понятие
12/19/2022 20:34:42,Больше 55,1-3 месяца,Занимаюсь криптовалютой,"Профессиональный подход, знание дела",Конкретные рекомендации по инструментам,Фундаментальный анализ,Занимаюсь инвестированием больше года,До 20 тыс. руб,50000,Инфляция + 10 процентов,В размере средней пенсии,Смогу больше расходовать на строительство дома,"Небольшой размер пенсии
Небольшой размер портфеля
Малая доходность инвестиций",,Фондовый рынок РФ,"Преумножение имеющегося инвестиционного портфеля, Криптовалюта","Зависит от того, что будет внутри продукта",1000 рублей
12/19/2022 20:34:58,45-55,3-6 месяцев,Работаю в найме,Простота подачи информации,Инфографики,"Диверсификации, оценке рисков",Занимаюсь инвестированием больше года,100-150 тыс. руб,10000,От 15% годовых,70000,Буду больше путешествовать,"Инфляция, снижение покупатель ной способность, нестабильность",,Фондовый рынок РФ,"Составление личного/семейного финансового плана, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им, Торговля фьючерсами и опционами",Зависит от стоимости,1000
12/19/2022 20:36:07,35-44,3-6 месяцев,Работаю в найме,Информация про разные стили инвестирования,"Больше гайдов ""как начать с нуля"", прям по самым мелким шагам) ","Видеть и правильно интерпретировать тенденции на рынках, в том числе и российском",Планирую начать,100-150 тыс. руб,100000,,"1,000$",Будет больше времени для саморазвития,"Жилье(Ипотека) 
Стабильно высокий доход(Работа) 
Стабильный пассивный доход(Рента) ",,Фондовый рынок РФ,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Понять, как закрыть кредиты и избавиться от долгов, Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,Затрудняюсь ответить) 
